sample,reach,latitude,longitude,zone,easting,northing,triplicate,A/B,A/C,B/C,Mean,Mean2,St. Err.,St. Dev.,Count,Sign.,95% Conf.
NC_50,NC_RC03,54.80574508,-128.3092363,9,544400,6073394,NC Trip 1,90.44,151.39,173.83,138.56,69.28,24.91,43.15,3,0.05,48.83
NC_50,NC_RC03,54.80574508,-128.3092363,,,,NC Trip 1,,,,,69.28,,,,,
,NC_RC04,54.79669304,-128.3041333,,,,NC Non-Trips,,,,,11.79,,,,,
,NC_RC06,54.73762936,-128.1963757,,,,NC Non-Trips,,,,,11.79,,,,,
,NC_RC08,54.61162307,-127.953328,,,,NC Non-Trips,,,,,11.79,,,,,
,NC_RC09,54.57145754,-127.9989702,,,,NC Non-Trips,,,,,11.79,,,,,
,NC_RC10,54.57568649,-128.0942735,,,,NC Non-Trips,,,,,11.79,,,,,
,NC_RC11,54.57483752,-128.1481594,,,,NC Non-Trips,,,,,11.79,,,,,
NC_190,NC_RC12,54.57025887,-128.2209096,9,550368,6047251,NC Trip 2,177.96,118.58,177.95,158.16,79.08,19.79,34.28,3,0.05,38.8
NC_190,NC_RC12,54.57025887,-128.2209096,,,,NC Trip 2,,,,,79.08,,,,,
,NC_RC20,54.46287433,-128.1371259,,,,NC Non-Trips,,,,,11.79,,,,,
,NC_RC24,54.5176877,-128.4035208,,,,NC Non-Trips,,,,,11.79,,,,,
NC_460,NC_RC30,54.25138737,-128.3837023,9,540154,6011667,NC Trip 3,188.58,210.17,218.03,205.59,102.795,8.8,15.25,3,0.05,17.26
NC_460,NC_RC30,54.25138737,-128.3837023,,,,NC Trip 3,,,,,102.795,,,,,
NC_500,NC_RC32,54.29605241,-128.4099245,9,538404,6016622,NC Trip 4,141.24,123.68,142.09,135.67,67.835,6,10.39,3,0.05,11.76
NC_500,NC_RC32,54.29605241,-128.4099245,,,,NC Trip 4,,,,,67.835,,,,,
NC_550,NC_RC36,54.33076347,-128.4996505,9,532537,6020439,NC Trip 5,183.22,178.68,153.16,171.69,85.845,9.36,16.2,3,0.05,18.34
NC_550,NC_RC36,54.33076347,-128.4996505,,,,NC Trip 5,,,,,85.845,,,,,
,NC_RC37,54.05652065,-128.2390634,,,,NC Non-Trips,,,,,11.79,,,,,
,NC_RC38,54.07441081,-128.2701588,,,,NC Non-Trips,,,,,11.79,,,,,
,NC_RC39,54.08180824,-128.295847,,,,NC Non-Trips,,,,,11.79,,,,,
,NC_RC48,54.38656936,-128.3247794,,,,NC Non-Trips,,,,,11.79,,,,,
,NC_RC49,54.41148015,-128.3991466,,,,NC Non-Trips,,,,,11.79,,,,,
,NC_RC57,54.74430653,-128.3277896,,,,NC Non-Trips,,,,,11.79,,,,,
NC_775,NC_RC59,54.69211356,-128.3686023,9,540698,6060714,NC Trip 6,165.05,206.17,180.07,183.76,91.88,12.01,20.81,3,0.05,23.55
NC_775,NC_RC59,54.69211356,-128.3686023,,,,NC Trip 6,,,,,91.88,,,,,
,NC_RC63,54.73505568,-128.8990982,,,,NC Non-Trips,,,,,11.79,,,,,
,NC_RC67,54.61851648,-128.8295908,,,,NC Non-Trips,,,,,11.79,,,,,
NC_850,NC_RC69,54.60976648,-128.7577252,9,515648,6051395,NC Trip 7,214.81,193.96,169.4,192.72,96.36,13.12,22.73,3,0.05,25.72
NC_850,NC_RC69,54.60976648,-128.7577252,,,,NC Trip 7,,,,,96.36,,,,,
nc_mean,,,,,,,,,,,188.64,,0.53,27.37,2628,0.05,1.05
